"...","CPU (%) ","Memory (MB)","PriorityBase"
"Taskmgr","2.1","42.84","8"
"chrome#61","0","6.09","4"
"Taskmgr","0","42.84","8"
"chrome#61","0","6.09","4"
"Taskmgr","1.5","42.84","8"
"chrome#61","0","6.09","4"
"Taskmgr","0","42.84","8"
"chrome#61","0","6.09","4"
"Taskmgr","1.5","42.84","8"
"chrome#61","0","6.09","4"
"Taskmgr","0","42.84","8"
"chrome#61","0","6.09","4"
"Taskmgr","1.5","42.84","8"
"chrome#61","0","6.09","4"
"Taskmgr","0","42.84","8"
"chrome#61","0","6.09","4"
"Taskmgr","1.5","42.84","8"
"chrome#61","0","6.09","4"
"Taskmgr","0","42.84","8"
"chrome#61","0","6.09","4"
"Taskmgr","1","42.84","8"
"chrome#61","0","6.09","4"
"Taskmgr","0","42.84","8"
"chrome#61","0","6.09","4"
"Taskmgr","0","42.84","8"
"chrome#61","0","6.09","4"
"Taskmgr","0","42.84","8"
"chrome#61","0","6.09","4"
"Taskmgr","0","42.84","8"
"chrome#61","0","6.09","4"
"Taskmgr","0","42.84","8"
"chrome#61","0","6.09","4"
"Taskmgr","0","42.84","8"
"chrome#61","0","6.09","4"
"Taskmgr","0","42.92","8"
"chrome#61","0","6.09","4"
"Taskmgr","0","42.92","8"
"chrome#61","0","6.09","4"
"Taskmgr","0.5","43.01","8"
"chrome#61","0","6.09","4"
"Taskmgr","0","43.01","8"
"chrome#61","0","6.09","4"
"Taskmgr","0","43.05","8"
"chrome#61","0","6.09","4"
"Taskmgr","2.9","43.06","8"
"chrome#61","0","6.09","4"
"Taskmgr","0","43.06","8"
"chrome#61","0","6.09","4"
"Taskmgr","2.6","43.06","8"
"chrome#61","0","6.09","4"
"Taskmgr","0","43.07","8"
"chrome#61","0","6.09","4"
"Taskmgr","1.5","43.07","8"
"chrome#61","0","6.09","4"
